,Latitude,Longitude
0,-33.7602,151.2995
1,-33.7488174,151.289017
2,-33.7557373,151.284866
3,-33.7542877,151.28981
4,-33.75336,151.288132
5,-33.7565727,151.29155
6,-33.7422333,151.290268
7,-33.7444344,151.286041
8,-33.7524872,151.283554
9,-33.7601852,151.297211
