,school_name,level_of_schooling,school_gender,suburb,latitude,longitude
367,Forest Hill Public School,Primary School,Coed,Forest Hill,-35.1479,147.467
368,Forest Lodge Public School,Primary School,Coed,Forest Lodge ,-33.8822,151.1816
369,Forster Public School,Primary School,Coed,Forster ,-32.1825,152.5242
370,Fort Street Public School,Primary School,Coed,Sydney ,-33.8604,151.2049
371,Frederickton Public School,Primary School,Coed,Frederickton ,-31.0336,152.8793
372,Freemans Reach Public School,Primary School,Coed,Freemans Reach,-33.5587,150.7993
373,Frenchs Forest Public School,Primary School,Coed,Frenchs Forest ,-33.7515,151.2247
374,Galston Public School,Primary School,Coed,Galston ,-33.6482,151.0452
375,Ganmain Public School,Primary School,Coed,Ganmain ,-34.7969,147.04
376,Garah Public School,Primary School,Coed,Garah ,-29.0772,149.6349
377,Gerogery Public School,Primary School,Coed,Gerogery ,-35.8321,146.9981
378,Gerringong Public School,Primary School,Coed,Gerringong ,-34.7494,150.8215
379,Geurie Public School,Primary School,Coed,Geurie,-32.3961,148.8295
380,Sandy Hollow Public School,Primary School,Coed,Sandy Hollow,-32.3365,150.569
381,Gilgai Public School,Primary School,Coed,Gilgai ,-29.8527,151.1156
382,Gilgandra Public School,Primary School,Coed,Gilgandra ,-31.708,148.6646
383,Gillieston Public School,Primary School,Coed,Gillieston Heights ,-32.7523,151.5307
384,Girilambone Public School,Primary School,Coed,Girilambone ,-31.2497,146.9088
385,Girraween Public School,Primary School,Coed,Girraween ,-33.7997,150.9504
386,Gladesville Public School,Primary School,Coed,Gladesville ,-33.833,151.1257
387,Gladstone Public School,Primary School,Coed,Gladstone ,-31.0265,152.9465
388,Windang Public School,Primary School,Coed,Windang ,-34.5315,150.866
389,Glenbrook Public School,Primary School,Coed,Glenbrook ,-33.766,150.6213
390,Glenfield Public School,Primary School,Coed,Glenfield ,-33.971,150.8966
391,Glenhaven Public School,Primary School,Coed,Glenhaven ,-33.7008,151.0029
392,Glen Innes Public School,Primary School,Coed,Glen Innes ,-29.7351,151.741
393,Glenmore Road Public School,Primary School,Coed,Paddington ,-33.8814,151.2302
394,Glenorie Public School,Primary School,Coed,Glenorie ,-33.5994,151.0081
395,Glenquarry Public School,Primary School,Coed,Glenquarry ,-34.5223,150.4835
396,Glenreagh Public School,Primary School,Coed,Glenreagh ,-30.0536,152.9763
397,Glen William Public School,Primary School,Coed,Clarence Town ,-32.5254,151.7979
398,Glossodia Public School,Primary School,Coed,Glossodia ,-33.5305,150.7655
399,Gol Gol Public School,Primary School,Coed,Gol Gol ,-34.1796,142.2227
400,Goodooga Central School,Central/Community School,Coed,Goodooga,-29.1159,147.4555
401,Goolgowi Public School,Primary School,Coed,Goolgowi ,-33.9757,145.7092
402,Goolma Public School,Primary School,Coed,Goolma ,-32.3688,149.269
403,Goolmangar Public School,Primary School,Coed,Goolmangar ,-28.7097,153.2317
404,Gooloogong Public School,Primary School,Coed,Gooloogong ,-33.6171,148.4364
405,Goonellabah Public School,Primary School,Coed,Goonellabah,-28.8183,153.3223
406,Goonengerry Public School,Primary School,Coed,Goonengerry,-28.6095,153.4398
407,Gosford Public School,Primary School,Coed,West Gosford,-33.4207,151.3345
408,Goulburn Public School,Primary School,Coed,Goulburn ,-34.7506,149.7178
409,Goulburn East Public School,Primary School,Coed,Goulburn ,-34.7626,149.7304
410,Goulburn North Public School,Primary School,Coed,Goulburn North ,-34.7446,149.735
411,Goulburn South Public School,Primary School,Coed,Goulburn ,-34.76,149.7123
412,Grafton Public School,Primary School,Coed,Grafton ,-29.685,152.9333
413,South Grafton Public School,Primary School,Coed,South Grafton ,-29.7099,152.9371
414,Granville Public School,Primary School,Coed,Granville ,-33.8343,151.0047
415,Granville South Public School,Primary School,Coed,Guildford ,-33.8483,150.9959
416,Gravesend Public School,Primary School,Coed,Gravesend ,-29.5854,150.3324
417,Greenethorpe Public School,Primary School,Coed,Greenethorpe ,-33.9977,148.4001
418,Green Hill Public School,Primary School,Coed,West Kempsey,-31.0596,152.8027
419,Green Valley Public School,Primary School,Coed,Green Valley ,-33.9007,150.869
420,Greenwich Public School,Primary School,Coed,Greenwich,-33.8259,151.1833
421,Grenfell Public School,Primary School,Coed,Grenfell ,-33.8923,148.1675
422,Gresford Public School,Primary School,Coed,Gresford ,-32.4276,151.5383
423,Greta Public School,Primary School,Coed,Greta,-32.6801,151.3872
424,Greystanes Public School,Primary School,Coed,Greystanes ,-33.828,150.9411
425,Griffith Public School,Primary School,Coed,Griffith ,-34.2914,146.0363
426,Guildford Public School,Primary School,Coed,Guildford ,-33.8558,150.982
427,Gulargambone Central School,Central/Community School,Coed,Gulargambone ,-31.3322,148.4758
428,Gulgong Public School,Primary School,Coed,Gulgong ,-32.3597,149.5377
429,Gulmarrad Public School,Primary School,Coed,Gulmarrad,-29.4892,153.2336
430,Gum Flat Public School,Primary School,Coed,Gum Flat ,-29.7796,150.9792
431,Gundagai Public School,Primary School,Coed,Gundagai ,-35.0521,148.1092
432,Gundagai South Public School,Primary School,Coed,South Gundagai,-35.0808,148.1031
433,Gundaroo Public School,Primary School,Coed,Gundaroo ,-35.0299,149.2671
434,Gunnedah Public School,Primary School,Coed,Gunnedah ,-30.9775,150.2563
435,Gunning Public School,Primary School,Coed,Gunning ,-34.7835,149.2656
436,Guyra Central School,Central/Community School,Coed,Guyra ,-30.2226,151.6774
437,Gwabegar Public School,Primary School,Coed,Gwabegar ,-30.6115,148.975
438,Gymea Bay Public School,Primary School,Coed,Gymea Bay,-34.0469,151.0828
439,Haberfield Public School,Primary School,Coed,Haberfield ,-33.8795,151.134
440,Hammondville Public School,Primary School,Coed,Hammondville ,-33.9473,150.9545
441,Hampton Public School,Primary School,Coed,Hampton ,-33.6485,150.0489
442,Hannam Vale Public School,Primary School,Coed,Hannam Vale ,-31.7129,152.594
443,Hanwood Public School,Primary School,Coed,Hanwood ,-34.3297,146.0424
444,Harbord Public School,Primary School,Coed,Freshwater,-33.7722,151.2865
445,Hargraves Public School,Primary School,Coed,Hargraves ,-32.7833,149.4619
446,Harrington Public School,Primary School,Coed,Harrington ,-31.8702,152.6888
447,Harwood Island Public School,Primary School,Coed,Harwood,-29.4256,153.2403
448,Hay Public School,Primary School,Coed,Hay ,-34.506,144.8454
449,Heathcote Public School,Primary School,Coed,Heathcote ,-34.0867,151.0073
450,Helensburgh Public School,Primary School,Coed,Helensburgh ,-34.1842,150.9884
451,Henty Public School,Primary School,Coed,Henty ,-35.5175,147.0312
452,Hermidale Public School,Primary School,Coed,Hermidale ,-31.5512,146.7234
453,Hernani Public School,Primary School,Coed,Dorrigo ,-30.2945,152.4227
454,Herons Creek Public School,Primary School,Coed,Herons Creek ,-31.5804,152.73
455,Hill End Public School,Primary School,Coed,Hill End ,-33.0346,149.4159
456,Hillside Public School,Primary School,Coed,Glenorie ,-33.6018,150.9762
457,Hillston Central School,Central/Community School,Coed,Hillston ,-33.4799,145.5403
458,Hill Top Public School,Primary School,Coed,Hill Top ,-34.3548,150.4914
459,Hinton Public School,Primary School,Coed,Hinton ,-32.7167,151.6507
460,Holbrook Public School,Primary School,Coed,Holbrook ,-35.7179,147.319
461,Holgate Public School,Primary School,Coed,Holgate ,-33.4051,151.4077
462,Holmwood Public School,Primary School,Coed,Cowra ,-33.8106,148.7568
463,Homebush Public School,Primary School,Coed,Homebush ,-33.8673,151.0852
464,Telarah Public School,Primary School,Coed,Maitland ,-32.7252,151.5324
465,Horsley Park Public School,Primary School,Coed,Horsley Park ,-33.8404,150.8527
466,Howlong Public School,Primary School,Coed,Howlong ,-35.9799,146.6368
467,Hoxton Park Public School,Primary School,Coed,Hoxton Park,-33.9319,150.8496
468,Humula Public School,Primary School,Coed,Humula ,-35.4833,147.7606
469,Hunters Hill Public School,Primary School,Coed,Hunters Hill ,-33.8351,151.1513
470,Huntingdon Public School,Primary School,Coed,Wauchope ,-31.4782,152.6606
471,Rathmines Public School,Primary School,Coed,Rathmines ,-33.0426,151.5899
472,Hurstville Public School,Primary School,Coed,Hurstville ,-33.9647,151.1107
473,Hurstville South Public School,Primary School,Coed,Hurstville ,-33.9725,151.0993
474,Huskisson Public School,Primary School,Coed,Huskisson ,-35.0368,150.6681
475,Ilford Public School,Primary School,Coed,Ilford ,-32.9667,149.8555
476,Illabo Public School,Primary School,Coed,Illabo,-34.814,147.7412
477,Iluka Public School,Primary School,Coed,Iluka,-29.4047,153.3489
478,Ingleburn Public School,Primary School,Coed,Ingleburn ,-34.0003,150.8666
479,Inverell Public School,Primary School,Coed,Inverell ,-29.7731,151.123
480,Iona Public School,Primary School,Coed,Woodville,-32.6651,151.6042
481,Islington Public School,Primary School,Coed,Islington ,-32.9114,151.7441
482,Ivanhoe Central School,Central/Community School,Coed,Ivanhoe ,-32.8985,144.301
483,Fernleigh Public School,Primary School,Coed,Fernleigh ,-28.7677,153.4984
484,Jamberoo Public School,Primary School,Coed,Jamberoo ,-34.6446,150.773
485,Jennings Public School,Primary School,Coed,Jennings,-28.9272,151.9344
486,Jerangle Public School,Primary School,Coed,Jerangle,-35.8711,149.3643
487,Jerilderie Public School,Primary School,Coed,Jerilderie ,-35.3546,145.7289
488,Jerrys Plains Public School,Primary School,Coed,Jerrys Plains ,-32.4972,150.9059
489,Jesmond Public School,Primary School,Coed,Jesmond ,-32.9038,151.6954
490,Jiggi Public School,Primary School,Coed,Jiggi ,-28.678,153.1814
491,Jilliby Public School,Primary School,Coed,Wyong ,-33.2399,151.3801
492,Jindabyne Central School,Central/Community School,Coed,Jindabyne ,-36.4167,148.6189
493,Jindera Public School,Primary School,Coed,Jindera ,-35.959,146.8867
494,Johns River Public School,Primary School,Coed,Johns River ,-31.733,152.6966
495,Jugiong Public School,Primary School,Coed,Jugiong ,-34.8202,148.3354
496,The Junction Public School,Primary School,Coed,Merewether ,-32.94,151.7586
497,Junee Public School,Primary School,Coed,Junee,-34.8735,147.5849
498,Junee North Public School,Primary School,Coed,Junee ,-34.855,147.5854
499,Kandos Public School,Primary School,Coed,Kandos,-32.8562,149.9748
500,Kangaloon Public School,Primary School,Coed,Kangaloon ,-34.5526,150.5296
501,Kangaroo Valley Public School,Primary School,Coed,Kangaroo Valley ,-34.7365,150.532
502,Kanwal Public School,Primary School,Coed,Kanwal ,-33.2625,151.4849
503,Karangi Public School,Primary School,Coed,Karangi ,-30.2524,153.0478
504,Karuah Public School,Primary School,Coed,Karuah ,-32.6543,151.9666
505,Kearsley Public School,Primary School,Coed,Kearsley,-32.8573,151.3959
506,Kegworth Public School,Primary School,Coed,Leichhardt ,-33.8865,151.1469
507,Keiraville Public School,Primary School,Coed,Keiraville ,-34.4141,150.8734
508,Kellys Plains Public School,Primary School,Coed,Armidale,-30.5719,151.6365
509,Kellyville Public School,Primary School,Coed,Kellyville,-33.7111,150.9579
510,Kelso Public School,Primary School,Coed,Kelso ,-33.417,149.6052
511,Kempsey East Public School,Primary School,Coed,Kempsey ,-31.0837,152.8469
512,Kempsey West Public School,Primary School,Coed,West Kempsey,-31.0784,152.8301
513,Kendall Public School,Primary School,Coed,Kendall ,-31.6274,152.7028
514,Kensington Public School,Primary School,Coed,Kensington,-33.9096,151.225
515,Kenthurst Public School,Primary School,Coed,Kenthurst,-33.6656,151.0046
516,Kentlyn Public School,Primary School,Coed,Campbelltown ,-34.0731,150.8586
517,Kentucky Public School,Primary School,Coed,Kentucky ,-30.7596,151.4492
518,Kiama Public School,Primary School,Coed,Kiama,-34.6697,150.8506
519,Kinchela Public School,Primary School,Coed,Kinchela ,-30.9911,152.9951
520,Kincumber Public School,Primary School,Coed,Kincumber ,-33.4682,151.3943
521,Kingsgrove Public School,Primary School,Coed,Kingsgrove ,-33.9478,151.1016
522,Bexley North Public School,Primary School,Coed,Bexley ,-33.9408,151.1204
523,Kingstown Public School,Primary School,Coed,Kingstown ,-30.5067,151.1164
524,Kingswood Public School,Primary School,Coed,Kingswood ,-33.7659,150.7265
525,Kirkton Public School,Primary School,Coed,Belford,-32.6098,151.2901
526,Kitchener Public School,Primary School,Coed,Kitchener,-32.8778,151.37
527,Kogarah Public School,Primary School,Coed,Kogarah ,-33.962,151.1366
528,Koorawatha Public School,Primary School,Coed,Koorawatha,-34.0349,148.5597
529,Kootingal Public School,Primary School,Coed,Kootingal,-31.0535,151.0537
530,Kororo Public School,Primary School,Coed,Korora,-30.2546,153.1319
531,Krambach Public School,Primary School,Coed,Krambach ,-32.0461,152.2723
532,Kulnura Public School,Primary School,Coed,Kulnura ,-33.2326,151.216
533,Kurmond Public School,Primary School,Coed,Kurmond ,-33.5497,150.6923
534,Kurnell Public School,Primary School,Coed,Kurnell ,-34.0102,151.2038
535,Kurrajong Public School,Primary School,Coed,Kurrajong ,-33.5552,150.6627
536,Kurrajong East Public School,Primary School,Coed,East Kurrajong,-33.5112,150.7773
537,Kurrajong North Public School,Primary School,Coed,Kurrajong Hills ,-33.5418,150.6395
538,Kyogle Public School,Primary School,Coed,Kyogle ,-28.6252,153.0039
539,Ladysmith Public School,Primary School,Coed,Ladysmith ,-35.2085,147.511
540,Laggan Public School,Primary School,Coed,Laggan ,-34.4062,149.5277
541,Laguna Public School,Primary School,Coed,Laguna,-32.9921,151.1305
542,Lake Albert Public School,Primary School,Coed,Lake Albert ,-35.1736,147.3792
543,Lake Cargelligo Central School,Central/Community School,Coed,Lake Cargelligo,-33.2948,146.374
544,Lakemba Public School,Primary School,Coed,Lakemba ,-33.9236,151.0701
545,Lake Munmorah Public School,Primary School,Coed,Lake Munmorah,-33.1882,151.5756
546,Lake Wyangan Public School,Primary School,Coed,Lake Wyangan ,-34.2482,146.0342
547,Lambton Public School,Primary School,Coed,Lambton,-32.9117,151.7041
548,Lane Cove Public School,Primary School,Coed,Lane Cove ,-33.8165,151.1691
549,Lansdowne Public School,Primary School,Coed,Lansdowne,-31.7839,152.5321
550,Upper Lansdowne Public School,Primary School,Coed,Upper Lansdowne ,-31.7052,152.4674
551,La Perouse Public School,Primary School,Coed,La Perouse ,-33.9784,151.2354
552,Largs Public School,Primary School,Coed,Largs ,-32.7005,151.6056
553,Larnook Public School,Primary School,Coed,Larnook,-28.6486,153.1148
554,Laurieton Public School,Primary School,Coed,Laurieton ,-31.6518,152.7975
555,Lavington Public School,Primary School,Coed,Lavington ,-36.0374,146.9283
556,Lawrence Public School,Primary School,Coed,Lawrence ,-29.4916,153.1004
557,Lawson Public School,Primary School,Coed,Lawson,-33.7212,150.4282
558,Leeton Public School,Primary School,Coed,Leeton,-34.5461,146.4072
559,Leura Public School,Primary School,Coed,Leura,-33.7112,150.3367
560,Lidcombe Public School,Primary School,Coed,Lidcombe ,-33.861,151.0469
561,Lightning Ridge Central School,Central/Community School,Coed,Lightning Ridge,-29.4252,147.9786
562,Lindfield Public School,Primary School,Coed,Lindfield ,-33.7808,151.1689
563,Lindfield East Public School,Primary School,Coed,East Lindfield,-33.7675,151.1843
564,Lisarow Public School,Primary School,Coed,Lisarow,-33.3813,151.3763
565,Lismore South Public School,Primary School,Coed,South Lismore,-28.8095,153.2621
566,Lithgow Public School,Primary School,Coed,Lithgow ,-33.4821,150.1602
567,Llandilo Public School,Primary School,Coed,Llandilo,-33.7072,150.7518
568,Lochinvar Public School,Primary School,Coed,Lochinvar ,-32.7003,151.452
569,Lockhart Central School,Central/Community School,Coed,Lockhart ,-35.2228,146.7148
570,Londonderry Public School,Primary School,Coed,Londonderry ,-33.6475,150.7369
571,Long Flat Public School,Primary School,Coed,Long Flat,-31.4378,152.4861
572,Lowanna Public School,Primary School,Coed,Lowanna ,-30.2072,152.8999
573,Lowesdale Public School,Primary School,Coed,Lowesdale ,-35.8562,146.3687
574,Luddenham Public School,Primary School,Coed,Luddenham,-33.8813,150.6915
575,Lue Public School,Primary School,Coed,Lue,-32.6563,149.8446
576,Lyndhurst Public School,Primary School,Coed,Lyndhurst ,-33.6733,149.0449
577,Macdonald Valley Public School,Primary School,Coed,Central Macdonald,-33.3213,150.972
578,Macksville Public School,Primary School,Coed,Macksville ,-30.7078,152.9171
579,Maimuru Public School,Primary School,Coed,Maimuru ,-34.2431,148.2143
580,Maitland East Public School,Primary School,Coed,East Maitland,-32.749,151.5853
581,Malabar Public School,Primary School,Coed,Malabar,-33.9622,151.2486
582,Mandurama Public School,Primary School,Coed,Mandurama ,-33.6515,149.0695
583,Manifold Public School,Primary School,Coed,Bentley ,-28.7491,153.0771
584,Manildra Public School,Primary School,Coed,Manildra,-33.1842,148.7001
585,Manly West Public School,Primary School,Coed,Balgowlah ,-33.7919,151.2688
586,Maraylya Public School,Primary School,Coed,Maraylya ,-33.5927,150.9163
587,Pelican Flat Public School,Primary School,Coed,Pelican,-33.0743,151.6483
588,Maroota Public School,Primary School,Coed,Maroota,-33.4553,150.9937
589,Maroubra Bay Public School,Primary School,Coed,Maroubra ,-33.9442,151.253
590,Marrar Public School,Primary School,Coed,Marrar ,-34.8283,147.3551
591,Marsden Park Public School,Primary School,Coed,Marsden Park,-33.6964,150.8336
592,Martindale Public School,Primary School,Coed,Martindale,-32.4588,150.6657
593,Martins Creek Public School,Primary School,Coed,Martins Creek ,-32.566,151.6235
594,Martins Gully Public School,Primary School,Coed,Armidale ,-30.5239,151.6373
595,Marulan Public School,Primary School,Coed,Marulan ,-34.7134,150.0066
596,Mascot Public School,Primary School,Coed,Mascot ,-33.9286,151.1925
597,Mathoura Public School,Primary School,Coed,Mathoura,-35.8161,144.9021
598,Matong Public School,Primary School,Coed,Matong,-34.7701,146.9273
599,Matraville Public School,Primary School,Coed,Matraville ,-33.9551,151.2291
600,Mayfield East Public School,Primary School,Coed,Mayfield East ,-32.8954,151.7487
601,Mayfield West Public School,Primary School,Coed,Mayfield ,-32.8887,151.7301
602,Mayrung Public School,Primary School,Coed,Deniliquin ,-35.4643,145.3088
603,Meadow Flat Public School,Primary School,Coed,Meadow Flat,-33.4337,149.9205
604,The Meadows Public School,Primary School,Coed,Seven Hills ,-33.7814,150.9426
605,Medlow Public School,Primary School,Coed,Medlow ,-30.7791,152.6902
606,Medowie Public School,Primary School,Coed,Medowie,-32.7382,151.8541
607,Megalong Public School,Primary School,Coed,Megalong ,-33.7153,150.2326
608,Menai Public School,Primary School,Coed,Menai ,-34.0121,151.0066
609,Mendooran Central School,Central/Community School,Coed,Mendooran,-31.8187,149.1225
610,Menindee Central School,Central/Community School,Coed,Menindee,-32.3934,142.4133
611,Merewether Public School,Primary School,Coed,Merewether,-32.9375,151.7422
612,Merimbula Public School,Primary School,Coed,Merimbula,-36.8865,149.9169
613,Merriwa Central School,Central/Community School,Coed,Merriwa,-32.1451,150.3529
614,Merrylands Public School,Primary School,Coed,Merrylands ,-33.8405,150.976
615,Bonnells Bay Public School,Primary School,Coed,Bonnells Bay ,-33.1145,151.5168
616,Michelago Public School,Primary School,Coed,Michelago,-35.706,149.1617
617,Middle Dural Public School,Primary School,Coed,Middle Dural ,-33.645,151.0232
618,Middle Harbour Public School,Primary School,Coed,Mosman ,-33.8228,151.2327
619,Milbrodale Public School,Primary School,Coed,Milbrodale,-32.6968,151.0058
620,Millbank Public School,Primary School,Coed,Willawarrin ,-30.8622,152.6357
621,Millers Forest Public School,Primary School,Coed,Millers Forest,-32.7521,151.7037
622,Millfield Public School,Primary School,Coed,Millfield ,-32.8898,151.2508
623,Millthorpe Public School,Primary School,Coed,Millthorpe ,-33.4451,149.1859
624,Milperra Public School,Primary School,Coed,Milperra ,-33.9421,150.9798
625,Milton Public School,Primary School,Coed,Milton ,-35.3141,150.4358
626,Minmi Public School,Primary School,Coed,Minmi ,-32.8761,151.6175
627,Minto Public School,Primary School,Coed,Minto ,-34.03,150.8473
628,Miranda Public School,Primary School,Coed,Miranda,-34.0346,151.0974
629,Mitchells Island Public School,Primary School,Coed,Mitchells Island,-31.8968,152.6141
630,Mittagong Public School,Primary School,Coed,Mittagong ,-34.448,150.4444
631,Moama Public School,Primary School,Coed,Moama ,-36.1153,144.7628
632,Modanville Public School,Primary School,Coed,Lismore ,-28.7302,153.2972
633,Mogo Public School,Primary School,Coed,Mogo ,-35.7861,150.1406
634,Molong Central School,Central/Community School,Coed,Molong ,-33.098,148.8639
635,Mona Vale Public School,Primary School,Coed,Mona Vale ,-33.677,151.3004
636,Monteagle Public School,Primary School,Coed,Monteagle ,-34.193,148.3472
637,Moonbi Public School,Primary School,Coed,Moonbi ,-31.0198,151.0736
638,Moorland Public School,Primary School,Coed,Moorland,-31.7696,152.6512
639,Moree Public School,Primary School,Coed,Moree ,-29.4662,149.8376
640,Morisset Public School,Primary School,Coed,Morisset,-33.1035,151.4896
641,Morpeth Public School,Primary School,Coed,Morpeth ,-32.7257,151.6321
642,Mortdale Public School,Primary School,Coed,Mortdale ,-33.9729,151.081
643,Mortlake Public School,Primary School,Coed,Concord,-33.8498,151.1039
644,Moruya Public School,Primary School,Coed,Moruya ,-35.9126,150.0764
645,Moss Vale Public School,Primary School,Coed,Moss Vale ,-34.5506,150.3664
646,Moulamein Public School,Primary School,Coed,Moulamein ,-35.0893,144.0328
647,Mount George Public School,Primary School,Coed,Mount George ,-31.881,152.1796
648,Mount Hunter Public School,Primary School,Coed,Camden ,-34.0718,150.6364
649,Mount Kanwary Public School,Primary School,Coed,Osterley,-32.7242,151.6991
650,Mount Keira Public School,Primary School,Coed,Mount Keira ,-34.4114,150.8562
651,Mount Kembla Public School,Primary School,Coed,Mount Kembla ,-34.4324,150.8171
652,Mount Pleasant Public School,Primary School,Coed,Singleton,-32.4085,151.1888
653,Mount Pritchard Public School,Primary School,Coed,Mount Pritchard ,-33.8998,150.9
654,Mount Victoria Public School,Primary School,Coed,Mount Victoria ,-33.5913,150.2539
655,Mudgee Public School,Primary School,Coed,Mudgee ,-32.5959,149.584
656,Mulbring Public School,Primary School,Coed,Mulbring ,-32.9013,151.4786
657,Mulgoa Public School,Primary School,Coed,Mulgoa ,-33.8365,150.6503
658,Mullaley Public School,Primary School,Coed,Mullaley ,-31.0987,149.9067
659,Mullengandra Public School,Primary School,Coed,Mullengandra ,-35.9001,147.1647
660,Mullion Creek Public School,Primary School,Coed,Mullion Creek,-33.139,149.1205
661,Mullumbimby Public School,Primary School,Coed,Mullumbimby ,-28.552,153.5059
662,Mulwala Public School,Primary School,Coed,Mulwala,-35.9871,146.0066
663,Clergate Public School,Primary School,Coed,Clergate ,-33.1921,149.1123
664,Mumbil Public School,Primary School,Coed,Mumbil ,-32.7224,149.0527
665,Mummulgum Public School,Primary School,Coed,Mummulgum,-28.848,152.8017
666,Mungindi Central School,Central/Community School,Coed,Mungindi ,-28.9802,148.9908
667,Murringo Public School,Primary School,Coed,Murringo,-34.2972,148.5155
668,Murrumburrah Public School,Primary School,Coed,Murrumburrah,-34.5508,148.3599
669,Murrurundi Public School,Primary School,Coed,Murrurundi,-31.7628,150.8322
670,Murwillumbah Public School,Primary School,Coed,Murwillumbah ,-28.3299,153.3911
671,Muswellbrook Public School,Primary School,Coed,Muswellbrook ,-32.2584,150.8964
672,Nabiac Public School,Primary School,Coed,Nabiac,-32.0975,152.3819
673,Nambucca Heads Public School,Primary School,Coed,Nambucca Heads ,-30.6417,153.0063
674,Nana Glen Public School,Primary School,Coed,Nana Glen ,-30.1356,153.0062
675,Nangus Public School,Primary School,Coed,Nangus ,-35.0539,147.9091
676,Naradhan Public School,Primary School,Coed,Naradhan ,-33.6156,146.3274
677,Narara Public School,Primary School,Coed,Lisarow ,-33.3879,151.3626
678,Narellan Public School,Primary School,Coed,Narellan,-34.0428,150.7338
679,Narrabeen Lakes Public School,Primary School,Coed,Narrabeen ,-33.7203,151.2974
680,Narrabri Public School,Primary School,Coed,Narrabri ,-30.3249,149.7852
681,Narrabri West Public School,Primary School,Coed,Narrabri ,-30.3445,149.7639
682,Narrandera Public School,Primary School,Coed,Narrandera ,-34.7445,146.5479
683,Narromine Public School,Primary School,Coed,Narromine ,-32.2299,148.2444
684,Nashdale Public School,Primary School,Coed,Nashdale ,-33.2938,149.0135
685,Tomaree Public School,Primary School,Coed,Salamander Bay,-32.7377,152.1131
686,Nemingha Public School,Primary School,Coed,Nemingha ,-31.1265,151.0042
687,Neutral Bay Public School,Primary School,Coed,Neutral Bay ,-33.8326,151.2196
688,Neville Public School,Primary School,Coed,Neville ,-33.7087,149.2168
689,Newcastle East Public School,Primary School,Coed,Newcastle ,-32.9303,151.7769
690,New Lambton Public School,Primary School,Coed,New Lambton ,-32.9226,151.7128
691,Newport Public School,Primary School,Coed,Newport ,-33.6606,151.3122
692,Newrybar Public School,Primary School,Coed,Newrybar ,-28.7171,153.5331
693,Newtown North Public School,Primary School,Coed,Newtown ,-33.8918,151.1854
694,Niangala Public School,Primary School,Coed,Niangala ,-31.298,151.4086
695,Nicholson Street Public School,Primary School,Coed,Balmain East ,-33.8557,151.1932
696,Nimbin Central School,Central/Community School,Coed,Nimbin ,-28.5959,153.2209
697,Nimmitabel Public School,Primary School,Coed,Nimmitabel,-36.5109,149.2896
698,Narooma Public School,Primary School,Coed,Narooma ,-36.2186,150.1373
699,Nords Wharf Public School,Primary School,Coed,Nords Wharf ,-33.1358,151.6051
700,Normanhurst Public School,Primary School,Coed,Normanhurst ,-33.7233,151.098
701,Northbridge Public School,Primary School,Coed,Northbridge ,-33.813,151.2186
702,Northmead Public School,Primary School,Coed,Northmead ,-33.7865,150.9908
703,North Rocks Public School,Primary School,Coed,North Rocks,-33.7684,151.0251
704,North Star Public School,Primary School,Coed,North Star ,-28.9267,150.3929
705,North Sydney Public School,Primary School,Coed,Waverton ,-33.8348,151.2037
706,Nowendoc Public School,Primary School,Coed,Nowendoc,-31.483,151.7154
707,Nowra Public School,Primary School,Coed,Nowra,-34.8794,150.6005
708,Nulkaba Public School,Primary School,Coed,Nulkaba,-32.8107,151.3478
709,Nundle Public School,Primary School,Coed,Nundle ,-31.4597,151.1274
710,Nymboida Public School,Primary School,Coed,Nymboida ,-29.9475,152.728
711,Nyngan Public School,Primary School,Coed,Nyngan,-31.5684,147.1953
712,Oakdale Public School,Primary School,Coed,Oakdale ,-34.0789,150.5082
713,Oaklands Central School,Central/Community School,Coed,Oaklands,-35.5527,146.1718
714,The Oaks Public School,Primary School,Coed,The Oaks ,-34.0784,150.5717
715,Oakville Public School,Primary School,Coed,Oakville,-33.6205,150.8705
716,Oatley Public School,Primary School,Coed,Oatley,-33.9837,151.0803
717,Oberon Public School,Primary School,Coed,Oberon,-33.7033,149.8645
718,O'Connell Public School,Primary School,Coed,O'Connell ,-33.5245,149.7201
719,Old Bar Public School,Primary School,Coed,Old Bar ,-31.9723,152.5885
720,Old Bonalbo Public School,Primary School,Coed,Old Bonalbo ,-28.6546,152.5974
721,Old Guildford Public School,Primary School,Coed,Guildford ,-33.8675,150.9865
722,Orange East Public School,Primary School,Coed,Orange ,-33.2821,149.1137
723,Orange Grove Public School,Primary School,Coed,Leichhardt ,-33.8723,151.1587
724,Orara Upper Public School,Primary School,Coed,Upper Orara ,-30.289,153.0132
725,Orchard Hills Public School,Primary School,Coed,Orchard Hills ,-33.783,150.7214
726,Otford Public School,Primary School,Coed,Otford ,-34.2122,151.0015
727,Ourimbah Public School,Primary School,Coed,Ourimbah ,-33.3549,151.3682
728,Oxley Island Public School,Primary School,Coed,Oxley Island,-31.9123,152.5686
729,Padstow Park Public School,Primary School,Coed,Padstow,-33.955,151.0309
730,Pallamallawa Public School,Primary School,Coed,Pallamallawa,-29.4739,150.1415
731,Palmers Island Public School,Primary School,Coed,Palmers Island,-29.4196,153.2882
732,Pambula Public School,Primary School,Coed,Pambula ,-36.9255,149.8718
733,Parkes Public School,Primary School,Coed,Parkes ,-33.1323,148.1763
734,Parklea Public School,Primary School,Coed,Glenwood,-33.7259,150.9348
735,Parramatta Public School,Primary School,Coed,Parramatta,-33.8157,151.0077
