,school_name,level_of_schooling,school_gender,suburb,latitude,longitude
84,Bermagui Public School,Primary School,Coed,Bermagui ,-36.4208,150.0636
85,Berowra Public School,Primary School,Coed,Berowra ,-33.6185,151.149
86,Berridale Public School,Primary School,Coed,Berridale ,-36.3714,148.8272
87,Berrigan Public School,Primary School,Coed,Berrigan ,-35.6597,145.8157
88,Berrima Public School,Primary School,Coed,Berrima ,-34.4859,150.3408
89,Berry Public School,Primary School,Coed,Berry ,-34.7783,150.6897
90,Beverly Hills Public School,Primary School,Coed,Beverly Hills ,-33.9534,151.0852
91,Bexhill Public School,Primary School,Coed,Bexhill,-28.766,153.3458
92,Bigga Public School,Primary School,Coed,Bigga ,-34.0847,149.1446
93,Bilambil Public School,Primary School,Coed,Bilambil ,-28.2237,153.4684
94,Ocean Shores Public School,Primary School,Coed,Ocean Shores,-28.4912,153.5403
95,Bilpin Public School,Primary School,Coed,Bilpin ,-33.4973,150.5168
96,Binalong Public School,Primary School,Coed,Binalong,-34.6701,148.6257
97,Binda Public School,Primary School,Coed,Binda ,-34.3315,149.3681
98,Bingara Central School,Central/Community School,Coed,Bingara ,-29.8667,150.5672
99,Binnaway Central School,Central/Community School,Coed,Binnaway,-31.5528,149.375
100,Binya Public School,Primary School,Coed,Binya,-34.2287,146.353
101,Birchgrove Public School,Primary School,Coed,Balmain ,-33.853,151.177
102,Blackheath Public School,Primary School,Coed,Blackheath ,-33.6393,150.2858
103,Black Hill Public School,Primary School,Coed,Black Hill ,-32.8385,151.6171
104,Black Mountain Public School,Primary School,Coed,Black Mountain ,-30.3085,151.6577
105,Blackville Public School,Primary School,Coed,Blackville ,-31.6404,150.2375
106,Blakebrook Public School,Primary School,Coed,Blakebrook ,-28.7634,153.23
107,Blakehurst Public School,Primary School,Coed,Blakehurst ,-33.983,151.1158
108,Blandford Public School,Primary School,Coed,Blandford ,-31.7786,150.8927
109,Blaxcell Street Public School,Primary School,Coed,Granville,-33.8581,151.0061
110,Blaxland Public School,Primary School,Coed,Blaxland,-33.7371,150.6035
111,Blayney Public School,Primary School,Coed,Blayney ,-33.529,149.2516
112,Blighty Public School,Primary School,Coed,Blighty ,-35.5801,145.3493
113,Boambee Public School,Primary School,Coed,Boambee,-30.3341,153.077
114,Bobin Public School,Primary School,Coed,Bobin ,-31.7127,152.2839
115,Bobs Farm Public School,Primary School,Coed,Bobs Farm,-32.7668,152.0109
116,Bodalla Public School,Primary School,Coed,Bodalla ,-36.0994,150.0539
117,Bogan Gate Public School,Primary School,Coed,Bogan Gate,-33.105,147.7979
118,Boggabilla Central School,Central/Community School,Coed,Boggabilla ,-28.6166,150.3616
119,Boggabri Public School,Primary School,Coed,Boggabri ,-30.7057,150.0431
120,Bolwarra Public School,Primary School,Coed,Bolwarra ,-32.707,151.573
121,Bomaderry Public School,Primary School,Coed,Bomaderry ,-34.8474,150.6083
122,Bombala Public School,Primary School,Coed,Bombala,-36.919,149.2338
123,Bonalbo Central School,Central/Community School,Coed,Bonalbo,-28.7355,152.624
124,Bondi Beach Public School,Primary School,Coed,Bondi Beach ,-33.8883,151.2768
125,Bongongo Public School,Primary School,Coed,Adjungbilly,-35.0846,148.3995
126,Bonshaw Public School,Primary School,Coed,Bonshaw ,-29.0464,151.2781
