Suburb,Date,Number of Sales,Price
MOORE PARK (2021) (House),Oct '13 - Sep '14,0  ,
NEWPORT (2106) (House),Oct '13 - Sep '14,146  ,122000000  
PADDINGTON (2021) (House),Oct '13 - Sep '14,277  ,162000000  
PENSHURST (2222) (House),Oct '13 - Sep '14,76  ,900000  
PYMBLE (2073) (House),Oct '13 - Sep '14,212  ,16000000  
RANDWICK (2031) (House),Oct '13 - Sep '14,174  ,175000000  
ROCKDALE (2216) (House),Oct '13 - Sep '14,82  ,885000  
ROUSE HILL (2155) (House),Oct '13 - Sep '14,176  ,770000  
SILVERWATER (2128) (House),Oct '13 - Sep '14,6  ,616000  
STANMORE (2048) (House),Oct '13 - Sep '14,124  ,115000000  
SYDNEY OLYMPIC PARK (2127) (House),Oct '13 - Sep '14,0  ,
THE ROCKS (2000) (House),Oct '13 - Sep '14,1  ,17000000  
WAHROONGA (2076) (House),Oct '13 - Sep '14,292  ,13000000  
WAVERLEY (2024) (House),Oct '13 - Sep '14,40  ,166000000  
WOOLLAHRA (2025) (House),Oct '13 - Sep '14,117  ,196000000  
YAGOONA (2199) (House),Oct '13 - Sep '14,177  ,641000  
ALFORDS POINT (2234) (House),Oct '13 - Sep '14,34  ,911000  
ANNANDALE (2038) (House),Oct '13 - Sep '14,140  ,115000000  
ASHBURY (2193) (House),Oct '13 - Sep '14,38  ,109000000  
AUSTRAL (2179) (House),Oct '13 - Sep '14,26  ,123000000  
BALMAIN (2041) (House),Oct '13 - Sep '14,153  ,135000000  
BEACONSFIELD (2015) (House),Oct '13 - Sep '14,12  ,890000  
BLACKTOWN (2148) (House),Oct '13 - Sep '14,561  ,515000  
BROOKVALE (2100) (House),Oct '13 - Sep '14,14  ,949000  
CASULA (2170) (House),Oct '13 - Sep '14,179  ,560000  
COOGEE (2034) (House),Oct '13 - Sep '14,65  ,189000000  
DEE WHY (2099) (House),Oct '13 - Sep '14,74  ,980000  
EARLWOOD (2206) (House),Oct '13 - Sep '14,186  ,985000  
ERSKINEVILLE (2043) (House),Oct '13 - Sep '14,117  ,103000000  
GLADESVILLE (2111) (House),Oct '13 - Sep '14,123  ,133000000  
GREENWICH (2065) (House),Oct '13 - Sep '14,60  ,189000000  
KILLARA (2071) (House),Oct '13 - Sep '14,128  ,187000000  
LA PEROUSE (2036) (House),Oct '13 - Sep '14,2  ,164000000  
LONGUEVILLE (2066) (House),Oct '13 - Sep '14,38  ,267000000  
MARRICKVILLE (2204) (House),Oct '13 - Sep '14,204  ,910000  
MINCHINBURY (2770) (House),Oct '13 - Sep '14,89  ,525000  
MOUNT DRUITT (2770) (House),Oct '13 - Sep '14,128  ,475000  
NORTH BONDI (2026) (House),Oct '13 - Sep '14,95  ,185000000  
PADSTOW (2211) (House),Oct '13 - Sep '14,153  ,758000  
PETERSHAM (2049) (House),Oct '13 - Sep '14,74  ,105000000  
PYRMONT (2009) (House),Oct '13 - Sep '14,20  ,113000000  
REDFERN (2016) (House),Oct '13 - Sep '14,123  ,102000000  
ROSE BAY (2029) (House),Oct '13 - Sep '14,79  ,235000000  
RUSHCUTTERS BAY (2011) (House),Oct '13 - Sep '14,3  ,224000000  
ST ANDREWS (2566) (House),Oct '13 - Sep '14,80  ,420000  
STRATHFIELD (2135) (House),Oct '13 - Sep '14,215  ,174000000  
SYLVANIA (2224) (House),Oct '13 - Sep '14,121  ,900000  
TURRAMURRA (2074) (House),Oct '13 - Sep '14,215  ,136000000  
WAREEMBA (2046) (House),Oct '13 - Sep '14,14  ,138000000  
WESTMEAD (2145) (House),Oct '13 - Sep '14,42  ,808000  
WOOLLOOMOOLOO (2011) (House),Oct '13 - Sep '14,9  ,941000  
YENNORA (2161) (House),Oct '13 - Sep '14,9  ,520000  
ALLAMBIE HEIGHTS (2100) (House),Oct '13 - Sep '14,81  ,109000000  
ANNANGROVE (2156) (House),Oct '13 - Sep '14,23  ,12000000  
ASHCROFT (2168) (House),Oct '13 - Sep '14,62  ,430000  
AVALON BEACH (2107) (House),Oct '13 - Sep '14,198  ,123000000  
BANKSTOWN (2200) (House),Oct '13 - Sep '14,180  ,688000  
BELLA VISTA (2153) (House),Oct '13 - Sep '14,150  ,118000000  
BONDI (2026) (House),Oct '13 - Sep '14,59  ,171000000  
CABRAMATTA (2166) (House),Oct '13 - Sep '14,101  ,635000  
CHATSWOOD (2067) (House),Oct '13 - Sep '14,195  ,155000000  
CRONULLA (2230) (House),Oct '13 - Sep '14,78  ,144000000  
DOUBLE BAY (2028) (House),Oct '13 - Sep '14,38  ,257000000  
EASTERN CREEK (2766) (House),Oct '13 - Sep '14,14  ,410000  
FAIRFIELD (2165) (House),Oct '13 - Sep '14,133  ,583000  
GLEBE (2037) (House),Oct '13 - Sep '14,85  ,128000000  
GYMEA (2227) (House),Oct '13 - Sep '14,70  ,870000  
KINGSFORD (2032) (House),Oct '13 - Sep '14,89  ,144000000  
LAKEMBA (2195) (House),Oct '13 - Sep '14,63  ,700000  
MACQUARIE PARK (2113) (House),Oct '13 - Sep '14,0  ,
MASCOT (2020) (House),Oct '13 - Sep '14,84  ,950000  
MINTO (2566) (House),Oct '13 - Sep '14,228  ,421000  
NARRABEEN (2101) (House),Oct '13 - Sep '14,43  ,142000000  
NORTH SYDNEY (2060) (House),Oct '13 - Sep '14,30  ,16000000  
PAGEWOOD (2035) (House),Oct '13 - Sep '14,35  ,123000000  
POINT PIPER (2027) (House),Oct '13 - Sep '14,9  ,72000000  
QUAKERS HILL (2763) (House),Oct '13 - Sep '14,339  ,560000  
REVESBY (2212) (House),Oct '13 - Sep '14,158  ,728000  
ROSEBERY (2018) (House),Oct '13 - Sep '14,49  ,122000000  
RYDE (2112) (House),Oct '13 - Sep '14,225  ,118000000  
ST IVES (2075) (House),Oct '13 - Sep '14,333  ,134000000  
SURRY HILLS (2010) (House),Oct '13 - Sep '14,139  ,126000000  
TAMARAMA (2026) (House),Oct '13 - Sep '14,11  ,285000000  
ULTIMO (2007) (House),Oct '13 - Sep '14,12  ,124000000  
WARWICK FARM (2170) (House),Oct '13 - Sep '14,21  ,495000  
WILLOUGHBY (2068) (House),Oct '13 - Sep '14,114  ,152000000  
WOOLOOWARE (2230) (House),Oct '13 - Sep '14,40  ,116000000  
YOWIE BAY (2228) (House),Oct '13 - Sep '14,31  ,125000000  
ALLAWAH (2218) (House),Oct '13 - Sep '14,16  ,909000  
ARCADIA (2159) (House),Oct '13 - Sep '14,22  ,123000000  
ASHFIELD (2131) (House),Oct '13 - Sep '14,88  ,11000000  
BADGERYS CREEK (2555) (House),Oct '13 - Sep '14,2  ,905000  
BARANGAROO (2000) (House),Oct '13 - Sep '14,0  ,
BELLEVUE HILL (2023) (House),Oct '13 - Sep '14,114  ,346000000  
BONDI BEACH (2026) (House),Oct '13 - Sep '14,60  ,196000000  
CAMDEN (2570) (House),Oct '13 - Sep '14,72  ,481000  
CHIFLEY (2036) (House),Oct '13 - Sep '14,41  ,122000000  
CROWS NEST (2065) (House),Oct '13 - Sep '14,61  ,122000000  
DOVER HEIGHTS (2030) (House),Oct '13 - Sep '14,54  ,276000000  
EASTGARDENS (2036) (House),Oct '13 - Sep '14,10  ,12000000  
FIVE DOCK (2046) (House),Oct '13 - Sep '14,73  ,121000000  
GLENHAVEN (2156) (House),Oct '13 - Sep '14,112  ,116000000  
ILLAWONG (2234) (House),Oct '13 - Sep '14,105  ,910000  
KINGSGROVE (2208) (House),Oct '13 - Sep '14,121  ,920000  
LANE COVE (2066) (House),Oct '13 - Sep '14,86  ,146000000  
MALABAR (2036) (House),Oct '13 - Sep '14,28  ,141000000  
MATRAVILLE (2036) (House),Oct '13 - Sep '14,79  ,121000000  
MIRANDA (2228) (House),Oct '13 - Sep '14,133  ,860000  
NEUTRAL BAY (2089) (House),Oct '13 - Sep '14,41  ,157000000  
OATLEY (2223) (House),Oct '13 - Sep '14,129  ,12000000  
PARRAMATTA (2150) (House),Oct '13 - Sep '14,65  ,797000  
POTTS POINT (2011) (House),Oct '13 - Sep '14,13  ,285000000  
QUEENS PARK (2022) (House),Oct '13 - Sep '14,60  ,194000000  
RIVERVIEW (2066) (House),Oct '13 - Sep '14,54  ,169000000  
ROSEVILLE (2069) (House),Oct '13 - Sep '14,147  ,183000000  
SANS SOUCI (2219) (House),Oct '13 - Sep '14,96  ,109000000  
ST MARYS (2760) (House),Oct '13 - Sep '14,143  ,425000  
SUTHERLAND (2232) (House),Oct '13 - Sep '14,30  ,759000  
TAREN POINT (2229) (House),Oct '13 - Sep '14,24  ,132000000  
VAUCLUSE (2030) (House),Oct '13 - Sep '14,129  ,34000000  
WATERLOO (2017) (House),Oct '13 - Sep '14,12  ,818000  
WINDSOR (2756) (House),Oct '13 - Sep '14,39  ,557000  
WINDSOR (2756) (House),Oct '13 - Sep '14,39  ,557000  
ZETLAND (2017) (House),Oct '13 - Sep '14,14  ,13000000  
AMBARVALE (2560) (House),Oct '13 - Sep '14,81  ,385000  
ARNCLIFFE (2205) (House),Oct '13 - Sep '14,85  ,900000  
ABBOTSBURY (2176) (House),Oct '14 - Sep '15,44  ,960000  
ARNDELL PARK (2148) (House),Oct '14 - Sep '15,0  ,
ASQUITH (2077) (House),Oct '14 - Sep '15,58  ,112000000  
BALGOWLAH (2093) (House),Oct '14 - Sep '15,80  ,171000000  
BAULKHAM HILLS (2153) (House),Oct '14 - Sep '15,426  ,105000000  
BEXLEY (2207) (House),Oct '14 - Sep '15,136  ,101000000  
BRIGHTON-LE-SANDS (2216) (House),Oct '14 - Sep '15,43  ,133000000  
CANTERBURY (2193) (House),Oct '14 - Sep '15,40  ,114000000  
CLOVELLY (2031) (House),Oct '14 - Sep '15,62  ,217000000  
DACEYVILLE (2032) (House),Oct '14 - Sep '15,3  ,125000000  
DRUMMOYNE (2047) (House),Oct '14 - Sep '15,80  ,169000000  
EDGECLIFF (2027) (House),Oct '14 - Sep '15,6  ,202000000  
FORESTVILLE (2087) (House),Oct '14 - Sep '15,109  ,132000000  
FRESHWATER (2096) (House),Oct '14 - Sep '15,65  ,191000000  
JORDAN SPRINGS (NA) (House),Oct '14 - Sep '15,264  ,635000  
KOGARAH (2217) (House),Oct '14 - Sep '15,54  ,115000000  
LINDFIELD (2070) (House),Oct '14 - Sep '15,135  ,211000000  
MANLY (2095) (House),Oct '14 - Sep '15,76  ,211000000  
MENAI (2234) (House),Oct '14 - Sep '15,110  ,951000  
MONTEREY (2217) (House),Oct '14 - Sep '15,28  ,139000000  
NEWINGTON (2127) (House),Oct '14 - Sep '15,68  ,12000000  
OYSTER BAY (2225) (House),Oct '14 - Sep '15,82  ,11000000  
PENRITH (2750) (House),Oct '14 - Sep '15,206  ,605000  
PUNCHBOWL (2196) (House),Oct '14 - Sep '15,155  ,825000  
RAMSGATE (2217) (House),Oct '14 - Sep '15,7  ,102000000  
RIVERWOOD (2210) (House),Oct '14 - Sep '15,80  ,920000  
ROSEHILL (2142) (House),Oct '14 - Sep '15,31  ,107000000  
SEVEN HILLS (2147) (House),Oct '14 - Sep '15,282  ,674000  
ST PETERS (2044) (House),Oct '14 - Sep '15,57  ,101000000  
SYDENHAM (2044) (House),Oct '14 - Sep '15,14  ,909000  
TEMPE (2044) (House),Oct '14 - Sep '15,61  ,967000  
VILLAWOOD (2163) (House),Oct '14 - Sep '15,54  ,666000  
WATSONS BAY (2030) (House),Oct '14 - Sep '15,9  ,4000000  
WOLLI CREEK (2205) (House),Oct '14 - Sep '15,2  ,765000  
WOOLWICH (2110) (House),Oct '14 - Sep '15,10  ,375000000  
ALEXANDRIA (2015) (House),Oct '14 - Sep '15,83  ,14000000  
ANGUS (2765) (House),Oct '14 - Sep '15,2  ,770000  
ARTARMON (2064) (House),Oct '14 - Sep '15,40  ,221000000  
AUBURN (2144) (House),Oct '14 - Sep '15,202  ,868000  
BALMAIN EAST (2041) (House),Oct '14 - Sep '15,28  ,198000000  
BEACON HILL (2100) (House),Oct '14 - Sep '15,94  ,124000000  
BIRCHGROVE (2041) (House),Oct '14 - Sep '15,49  ,181000000  
BONDI JUNCTION (2022) (House),Oct '14 - Sep '15,84  ,162000000  
CARSS PARK (2221) (House),Oct '14 - Sep '15,22  ,143000000  
COLLAROY (2097) (House),Oct '14 - Sep '15,63  ,18000000  
DARLINGHURST (2010) (House),Oct '14 - Sep '15,67  ,15000000  
DULWICH HILL (2203) (House),Oct '14 - Sep '15,78  ,13000000  
ENMORE (2042) (House),Oct '14 - Sep '15,55  ,128000000  
FRENCHS FOREST (2086) (House),Oct '14 - Sep '15,197  ,132000000  
GREENACRE (2190) (House),Oct '14 - Sep '15,250  ,846000  
KELLYVILLE (2155) (House),Oct '14 - Sep '15,400  ,101000000  
KURNELL (2231) (House),Oct '14 - Sep '15,29  ,900000  
LIVERPOOL (2170) (House),Oct '14 - Sep '15,186  ,708000  
MAROUBRA (2035) (House),Oct '14 - Sep '15,216  ,16000000  
MILLERS POINT (2000) (House),Oct '14 - Sep '15,24  ,223000000  
MOORE PARK (2021) (House),Oct '14 - Sep '15,0  ,
NEWPORT (2106) (House),Oct '14 - Sep '15,152  ,142000000  
PADDINGTON (2021) (House),Oct '14 - Sep '15,299  ,168000000  
PENSHURST (2222) (House),Oct '14 - Sep '15,80  ,126000000  
PYMBLE (2073) (House),Oct '14 - Sep '15,217  ,195000000  
RANDWICK (2031) (House),Oct '14 - Sep '15,159  ,205000000  
ROCKDALE (2216) (House),Oct '14 - Sep '15,49  ,11000000  
ROUSE HILL (2155) (House),Oct '14 - Sep '15,218  ,910000  
SILVERWATER (2128) (House),Oct '14 - Sep '15,16  ,808000  
STANMORE (2048) (House),Oct '14 - Sep '15,96  ,14000000  
SYDNEY OLYMPIC PARK (2127) (House),Oct '14 - Sep '15,0  ,
THE ROCKS (2000) (House),Oct '14 - Sep '15,0  ,
WAHROONGA (2076) (House),Oct '14 - Sep '15,281  ,152000000  
WAVERLEY (2024) (House),Oct '14 - Sep '15,52  ,193000000  
WOOLLAHRA (2025) (House),Oct '14 - Sep '15,148  ,238000000  
YAGOONA (2199) (House),Oct '14 - Sep '15,199  ,773000  
ALFORDS POINT (2234) (House),Oct '14 - Sep '15,44  ,111000000  
ANNANDALE (2038) (House),Oct '14 - Sep '15,141  ,134000000  
ASHBURY (2193) (House),Oct '14 - Sep '15,34  ,132000000  
AUSTRAL (2179) (House),Oct '14 - Sep '15,38  ,213000000  
BALMAIN (2041) (House),Oct '14 - Sep '15,167  ,165000000  
BEACONSFIELD (2015) (House),Oct '14 - Sep '15,15  ,13000000  
BLACKTOWN (2148) (House),Oct '14 - Sep '15,721  ,650000  
BROOKVALE (2100) (House),Oct '14 - Sep '15,15  ,122000000  
CASULA (2170) (House),Oct '14 - Sep '15,193  ,700000  
COOGEE (2034) (House),Oct '14 - Sep '15,53  ,221000000  
DEE WHY (2099) (House),Oct '14 - Sep '15,74  ,141000000  
EARLWOOD (2206) (House),Oct '14 - Sep '15,144  ,129000000  
ERSKINEVILLE (2043) (House),Oct '14 - Sep '15,61  ,118000000  
GLADESVILLE (2111) (House),Oct '14 - Sep '15,113  ,158000000  
GREENWICH (2065) (House),Oct '14 - Sep '15,59  ,204000000  
KILLARA (2071) (House),Oct '14 - Sep '15,132  ,22000000  
LA PEROUSE (2036) (House),Oct '14 - Sep '15,2  ,154000000  
LONGUEVILLE (2066) (House),Oct '14 - Sep '15,40  ,3000000  
MARRICKVILLE (2204) (House),Oct '14 - Sep '15,182  ,112000000  
MINCHINBURY (2770) (House),Oct '14 - Sep '15,90  ,646000  
MOUNT DRUITT (2770) (House),Oct '14 - Sep '15,130  ,600000  
NORTH BONDI (2026) (House),Oct '14 - Sep '15,100  ,229000000  
PADSTOW (2211) (House),Oct '14 - Sep '15,155  ,886000  
PETERSHAM (2049) (House),Oct '14 - Sep '15,73  ,127000000  
PYRMONT (2009) (House),Oct '14 - Sep '15,16  ,117000000  
REDFERN (2016) (House),Oct '14 - Sep '15,97  ,128000000  
ROSE BAY (2029) (House),Oct '14 - Sep '15,79  ,29000000  
RUSHCUTTERS BAY (2011) (House),Oct '14 - Sep '15,2  ,294000000  
ST ANDREWS (2566) (House),Oct '14 - Sep '15,101  ,510000  
STRATHFIELD (2135) (House),Oct '14 - Sep '15,197  ,21000000  
SYLVANIA (2224) (House),Oct '14 - Sep '15,104  ,121000000  
TURRAMURRA (2074) (House),Oct '14 - Sep '15,204  ,168000000  
WAREEMBA (2046) (House),Oct '14 - Sep '15,9  ,168000000  
WESTMEAD (2145) (House),Oct '14 - Sep '15,37  ,113000000  
WOOLLOOMOOLOO (2011) (House),Oct '14 - Sep '15,7  ,125000000  
YENNORA (2161) (House),Oct '14 - Sep '15,12  ,713000  
ALLAMBIE HEIGHTS (2100) (House),Oct '14 - Sep '15,79  ,128000000  
ANNANGROVE (2156) (House),Oct '14 - Sep '15,8  ,185000000  
ASHCROFT (2168) (House),Oct '14 - Sep '15,52  ,555000  
AVALON BEACH (2107) (House),Oct '14 - Sep '15,216  ,131000000  
BANKSTOWN (2200) (House),Oct '14 - Sep '15,166  ,865000  
BELLA VISTA (2153) (House),Oct '14 - Sep '15,104  ,135000000  
BONDI (2026) (House),Oct '14 - Sep '15,59  ,2000000  
CABRAMATTA (2166) (House),Oct '14 - Sep '15,112  ,796000  
CHATSWOOD (2067) (House),Oct '14 - Sep '15,182  ,192000000  
CRONULLA (2230) (House),Oct '14 - Sep '15,72  ,18000000  
DOUBLE BAY (2028) (House),Oct '14 - Sep '15,36  ,311000000  
EASTERN CREEK (2766) (House),Oct '14 - Sep '15,20  ,630000  
FAIRFIELD (2165) (House),Oct '14 - Sep '15,137  ,705000  
GLEBE (2037) (House),Oct '14 - Sep '15,89  ,143000000  
GYMEA (2227) (House),Oct '14 - Sep '15,65  ,985000  
KINGSFORD (2032) (House),Oct '14 - Sep '15,95  ,18000000  
LAKEMBA (2195) (House),Oct '14 - Sep '15,57  ,830000  
MACQUARIE PARK (2113) (House),Oct '14 - Sep '15,1  ,490000  
MASCOT (2020) (House),Oct '14 - Sep '15,90  ,116000000  
MINTO (2566) (House),Oct '14 - Sep '15,185  ,538000  
NARRABEEN (2101) (House),Oct '14 - Sep '15,24  ,181000000  
NORTH SYDNEY (2060) (House),Oct '14 - Sep '15,29  ,17000000  
PAGEWOOD (2035) (House),Oct '14 - Sep '15,45  ,154000000  
POINT PIPER (2027) (House),Oct '14 - Sep '15,9  ,125000000  
QUAKERS HILL (2763) (House),Oct '14 - Sep '15,328  ,690000  
REVESBY (2212) (House),Oct '14 - Sep '15,123  ,920000  
ROSEBERY (2018) (House),Oct '14 - Sep '15,62  ,159000000  
RYDE (2112) (House),Oct '14 - Sep '15,220  ,143000000  
ST IVES (2075) (House),Oct '14 - Sep '15,323  ,166000000  
SURRY HILLS (2010) (House),Oct '14 - Sep '15,129  ,14000000  
TAMARAMA (2026) (House),Oct '14 - Sep '15,19  ,358000000  
ULTIMO (2007) (House),Oct '14 - Sep '15,9  ,131000000  
WARWICK FARM (2170) (House),Oct '14 - Sep '15,15  ,585000  
WILLOUGHBY (2068) (House),Oct '14 - Sep '15,107  ,175000000  
WOOLOOWARE (2230) (House),Oct '14 - Sep '15,34  ,14000000  
YOWIE BAY (2228) (House),Oct '14 - Sep '15,46  ,157000000  
ALLAWAH (2218) (House),Oct '14 - Sep '15,16  ,123000000  
ARCADIA (2159) (House),Oct '14 - Sep '15,15  ,162000000  
ASHFIELD (2131) (House),Oct '14 - Sep '15,124  ,14000000  
BADGERYS CREEK (2555) (House),Oct '14 - Sep '15,3  ,21000000  
BARANGAROO (2000) (House),Oct '14 - Sep '15,0  ,
BELLEVUE HILL (2023) (House),Oct '14 - Sep '15,118  ,389000000  
BONDI BEACH (2026) (House),Oct '14 - Sep '15,33  ,2000000  
CAMDEN (2570) (House),Oct '14 - Sep '15,73  ,625000  
CHIFLEY (2036) (House),Oct '14 - Sep '15,30  ,147000000  
CROWS NEST (2065) (House),Oct '14 - Sep '15,48  ,163000000  
DOVER HEIGHTS (2030) (House),Oct '14 - Sep '15,66  ,321000000  
EASTGARDENS (2036) (House),Oct '14 - Sep '15,12  ,146000000  
FIVE DOCK (2046) (House),Oct '14 - Sep '15,106  ,15000000  
GLENHAVEN (2156) (House),Oct '14 - Sep '15,107  ,144000000  
ILLAWONG (2234) (House),Oct '14 - Sep '15,110  ,109000000  
KINGSGROVE (2208) (House),Oct '14 - Sep '15,135  ,115000000  
LANE COVE (2066) (House),Oct '14 - Sep '15,86  ,179000000  
MALABAR (2036) (House),Oct '14 - Sep '15,24  ,178000000  
MATRAVILLE (2036) (House),Oct '14 - Sep '15,71  ,136000000  
MIRANDA (2228) (House),Oct '14 - Sep '15,151  ,103000000  
NEUTRAL BAY (2089) (House),Oct '14 - Sep '15,30  ,178000000  
OATLEY (2223) (House),Oct '14 - Sep '15,107  ,141000000  
PARRAMATTA (2150) (House),Oct '14 - Sep '15,52  ,995000  
POTTS POINT (2011) (House),Oct '14 - Sep '15,8  ,298000000  
QUEENS PARK (2022) (House),Oct '14 - Sep '15,53  ,19000000  
RIVERVIEW (2066) (House),Oct '14 - Sep '15,48  ,2000000  
ROSEVILLE (2069) (House),Oct '14 - Sep '15,140  ,221000000  
SANS SOUCI (2219) (House),Oct '14 - Sep '15,99  ,139000000  
ST MARYS (2760) (House),Oct '14 - Sep '15,171  ,550000  
SUTHERLAND (2232) (House),Oct '14 - Sep '15,44  ,968000  
TAREN POINT (2229) (House),Oct '14 - Sep '15,19  ,164000000  
VAUCLUSE (2030) (House),Oct '14 - Sep '15,157  ,37000000  
WATERLOO (2017) (House),Oct '14 - Sep '15,17  ,114000000  
WINDSOR (2756) (House),Oct '14 - Sep '15,54  ,620000  
WINDSOR (2756) (House),Oct '14 - Sep '15,54  ,620000  
ZETLAND (2017) (House),Oct '14 - Sep '15,15  ,145000000  
AMBARVALE (2560) (House),Oct '14 - Sep '15,132  ,485000  
ARNCLIFFE (2205) (House),Oct '14 - Sep '15,68  ,106000000  
ABBOTSBURY (2176) (House),Oct '15 - Sep '16,31  ,900000  
ARNDELL PARK (2148) (House),Oct '15 - Sep '16,1  ,385000000  
ASQUITH (2077) (House),Oct '15 - Sep '16,51  ,126000000  
BALGOWLAH (2093) (House),Oct '15 - Sep '16,67  ,182000000  
BAULKHAM HILLS (2153) (House),Oct '15 - Sep '16,370  ,107000000  
BEXLEY (2207) (House),Oct '15 - Sep '16,123  ,11000000  
BRIGHTON-LE-SANDS (2216) (House),Oct '15 - Sep '16,22  ,136000000  
CANTERBURY (2193) (House),Oct '15 - Sep '16,53  ,13000000  
CLOVELLY (2031) (House),Oct '15 - Sep '16,52  ,284000000  
DACEYVILLE (2032) (House),Oct '15 - Sep '16,2  ,139000000  
DRUMMOYNE (2047) (House),Oct '15 - Sep '16,72  ,194000000  
EDGECLIFF (2027) (House),Oct '15 - Sep '16,12  ,223000000  
FORESTVILLE (2087) (House),Oct '15 - Sep '16,81  ,144000000  
FRESHWATER (2096) (House),Oct '15 - Sep '16,71  ,2000000  
JORDAN SPRINGS (NA) (House),Oct '15 - Sep '16,157  ,720000  
KOGARAH (2217) (House),Oct '15 - Sep '16,52  ,119000000  
LINDFIELD (2070) (House),Oct '15 - Sep '16,70  ,24000000  
MANLY (2095) (House),Oct '15 - Sep '16,66  ,273000000  
MENAI (2234) (House),Oct '15 - Sep '16,90  ,990000  
MONTEREY (2217) (House),Oct '15 - Sep '16,23  ,156000000  
NEWINGTON (2127) (House),Oct '15 - Sep '16,44  ,129000000  
OYSTER BAY (2225) (House),Oct '15 - Sep '16,80  ,12000000  
PENRITH (2750) (House),Oct '15 - Sep '16,157  ,650000  
PUNCHBOWL (2196) (House),Oct '15 - Sep '16,143  ,823000  
RAMSGATE (2217) (House),Oct '15 - Sep '16,9  ,1000000  
RIVERWOOD (2210) (House),Oct '15 - Sep '16,71  ,950000  
ROSEHILL (2142) (House),Oct '15 - Sep '16,16  ,796000  
SEVEN HILLS (2147) (House),Oct '15 - Sep '16,227  ,706000  
ST PETERS (2044) (House),Oct '15 - Sep '16,68  ,112000000  
SYDENHAM (2044) (House),Oct '15 - Sep '16,7  ,1000000  
TEMPE (2044) (House),Oct '15 - Sep '16,35  ,115000000  
VILLAWOOD (2163) (House),Oct '15 - Sep '16,47  ,720000  
WATSONS BAY (2030) (House),Oct '15 - Sep '16,4  ,383000000  
WOLLI CREEK (2205) (House),Oct '15 - Sep '16,1  ,840000  
WOOLWICH (2110) (House),Oct '15 - Sep '16,8  ,475000000  
ALEXANDRIA (2015) (House),Oct '15 - Sep '16,58  ,15000000  
ANGUS (2765) (House),Oct '15 - Sep '16,3  ,710000  
ARTARMON (2064) (House),Oct '15 - Sep '16,49  ,245000000  
AUBURN (2144) (House),Oct '15 - Sep '16,149  ,870000  
BALMAIN EAST (2041) (House),Oct '15 - Sep '16,25  ,243000000  
BEACON HILL (2100) (House),Oct '15 - Sep '16,92  ,133000000  
BIRCHGROVE (2041) (House),Oct '15 - Sep '16,40  ,174000000  
BONDI JUNCTION (2022) (House),Oct '15 - Sep '16,60  ,175000000  
CARSS PARK (2221) (House),Oct '15 - Sep '16,19  ,145000000  
COLLAROY (2097) (House),Oct '15 - Sep '16,60  ,202000000  
DARLINGHURST (2010) (House),Oct '15 - Sep '16,66  ,179000000  
DULWICH HILL (2203) (House),Oct '15 - Sep '16,77  ,132000000  
ENMORE (2042) (House),Oct '15 - Sep '16,48  ,128000000  
FRENCHS FOREST (2086) (House),Oct '15 - Sep '16,133  ,143000000  
GREENACRE (2190) (House),Oct '15 - Sep '16,206  ,856000  
KELLYVILLE (2155) (House),Oct '15 - Sep '16,364  ,112000000  
KURNELL (2231) (House),Oct '15 - Sep '16,25  ,990000  
LIVERPOOL (2170) (House),Oct '15 - Sep '16,121  ,730000  
MAROUBRA (2035) (House),Oct '15 - Sep '16,189  ,18000000  
MILLERS POINT (2000) (House),Oct '15 - Sep '16,50  ,251000000  
MOORE PARK (2021) (House),Oct '15 - Sep '16,0  ,
NEWPORT (2106) (House),Oct '15 - Sep '16,128  ,16000000  
PADDINGTON (2021) (House),Oct '15 - Sep '16,224  ,2000000  
PENSHURST (2222) (House),Oct '15 - Sep '16,55  ,12000000  
PYMBLE (2073) (House),Oct '15 - Sep '16,146  ,22000000  
RANDWICK (2031) (House),Oct '15 - Sep '16,144  ,215000000  
ROCKDALE (2216) (House),Oct '15 - Sep '16,51  ,11000000  
ROUSE HILL (2155) (House),Oct '15 - Sep '16,144  ,958000  
SILVERWATER (2128) (House),Oct '15 - Sep '16,7  ,900000  
STANMORE (2048) (House),Oct '15 - Sep '16,70  ,143000000  
SYDNEY OLYMPIC PARK (2127) (House),Oct '15 - Sep '16,1  ,101000000  
THE ROCKS (2000) (House),Oct '15 - Sep '16,0  ,
WAHROONGA (2076) (House),Oct '15 - Sep '16,209  ,175000000  
WAVERLEY (2024) (House),Oct '15 - Sep '16,37  ,212000000  
WOOLLAHRA (2025) (House),Oct '15 - Sep '16,112  ,288000000  
YAGOONA (2199) (House),Oct '15 - Sep '16,168  ,808000  
ALFORDS POINT (2234) (House),Oct '15 - Sep '16,32  ,118000000  
ANNANDALE (2038) (House),Oct '15 - Sep '16,122  ,145000000  
ASHBURY (2193) (House),Oct '15 - Sep '16,27  ,152000000  
AUSTRAL (2179) (House),Oct '15 - Sep '16,54  ,274000000  
BALMAIN (2041) (House),Oct '15 - Sep '16,134  ,176000000  
BEACONSFIELD (2015) (House),Oct '15 - Sep '16,24  ,13000000  
BLACKTOWN (2148) (House),Oct '15 - Sep '16,581  ,680000  
BROOKVALE (2100) (House),Oct '15 - Sep '16,14  ,147000000  
CASULA (2170) (House),Oct '15 - Sep '16,183  ,750000  
COOGEE (2034) (House),Oct '15 - Sep '16,49  ,243000000  
